Person ID;Level;Current Potential;Code;Gender;Evaluation Statement;Evaluation Date;Evaluated by Code;Agreed By Code
00824357;5;D;RAP;F;"00824357 works very independently with a strong focus to deliver results on the project objectives. In the project ""Flame Retardant EPS"" she has always found new ways to take the project to the next level in seemingly hopeless situations, e.g. to enable experiments in the pilot plant, or to develop solutions for safety related problems. She was able to motivate her colleagues, inspire them and eventually contributed significantly to obtained results in South Korea at the company Zero House under realistic production conditions. Further, 00824357 engaged her team to consistently improve the quality, and thus it was possible to acquire new customers e.g. Sto Innovation. The team structure was a highly diverse mix of various cultures, experience levels and competencies which 00824357 had to deal with. She learned how to benefit from this diverse group and it turned out that this was a key point for success of the project. The tight schedule, which was partly changed at short notice by the customer, required a high degree of flexibility and improvisation. Due to her friendly and constructive manner, she always succeeded keeping the team motivated. In parallel, she took over the responsibility for a second laboratory. She was able to expand her expertise by implementation of a highly reactive system. 00824357 was also accepted very fast into this team and appreciated as a competent contact person. She tightly managed the ""Thermopox"" project, which was under deadline pressure, involved colleagues and specialist from different departments, who could contribute by using her network. Vice versa, she also managed the various responsibilities for RAP/OC and the RAP department (web side for RAP, communication circle, summer course 2018). In all off these activities she was highly motivated, delivered results in time and used the chance to expand her network. While working on the Circular Economy Roadmap, she quickly became familiar with a new topic. Clear responsibilities within the team, the ability to compromise and strict time management are important for the fast and successful implementation. She was able to moderate multiple different arguments and interests, she structured complex interrelationships and enriched the discussion bringing in new aspects derived from her broad network. These qualities make her a valued discussion partner for both technical issues and strategic tasks. 00824357 is friendly, engaging and easy to get along with. She is open towards colleagues and employees as well as approaching them with empathy and interest. She enjoys working in a team, bringing in her arguments forward, addressing unpleasant issues openly and seeking solutions. She recognizes strengths and weaknesses of employees and colleagues and takes these into account in her planning. She is always ready to accept and give feedback openly and constructively. She clearly states her opinion but is always careful not to hurt anybody and treats her partners with respect.";11.09.2020;RAP/PMD;RA
00106715;5;D;ESE/S;F;"00680374 is within the Contractor Management group responsible for all development topics. She is the key person to drive the lever contractor management within the project ""Future role of Site Ludwigshafen"" forward. Her main achievements are the finalization and roll-out of the safety movie and safety test for contractors and visitors on site, the roll-out of the 6 life saving rules, the vocational training cooperation for technical contractors and a new concept for the dialogue with contractors on all levels. Her next development step should be a bigger disciplinary leadership function (Head of function) for technical, EHS or procurement personnel.";26.09.2019;EST;ES
00680374;5;D;G-APV/O;F;00680374 is an authentic and passionate leader, she provides clarity and direction with a clear, direct, humble communication style. She´s very open to new challenges and likes to move out of the comfort zone. Likes to combine content knowledge with leading teams, ideal for a managerial role with some technical requirements.;24.08.2020;G-APU;AP
00301739;5;R;N-APN;F;00301739 has been in current role since 2018. In it, she has expanded the team and challenged the group to stregthen strategic focus and capabiliites. The APN organization has also experienced tremendous change in scope and complexity of activities during her tenure and she is managing these dynamic changes with a growth mindset required to continue the desired level of business transformation.;13.02.2020;N-APN;AP
00349520;5;E;RCC/E;M;"00349520 is a well-recognized expert on zeolites and microporous materials in RCC North America. He is the project lead for developing new zeolites for SCR applications. He displays significant innovative drive, searching for new technologies and matching them to BASF's needs. On a consistent basis, he is able to identify white spaces for BASF, to define strategies for how to put them to good use within BASF and to deliver tangible results in short time frames. 00349520’s strength is at the front end of projects; however, he needs to develop stronger confidence to move projects to completion. 00349520 is recognized as a team player and has been called to join numerous teams over the years often in times of technology crises. Frequent feedback from team members indicates that 00349520 understands the value of a diverse team of contributors to a project's success. Customers recognize him for his deep scientific knowledge as well as for his capability to deliver solutions to difficult technical challenges, thereby increasing BASF’s competitiveness in the field of zeolite catalysis. His knowledge in the area of automotive zeolite IP is highly valued in the organization. 00349520 demonstrates effective communication skills, being able to summarize and communicate complex scientific content and results to diverse audiences.";15.04.2020;RCC/CCD;RC
00300571;5;D;ACN;M;00744664 00300571 has shown a consistent high performance over the last couple of years. He is a valued contributor as plant manager, who demonstrates outstanding commitment and awareness in terms of EHS and plant technical optimization. Through his deep technical knowledge, but also his excellent delegation of tasks, he has managed to achieve daily and yearly production records in all his plants. In addition, the raw material consumption and wastes have been reduced. Since he took over the responsibility of the Amines complex, he and his team have started up one new plant (NPG), he has successfully debottlenecked one plant (DMEOA) and they are currently finishing the expansion of the NPG plant to double its original capacity. All of this was done while keeping a high safety standard and keeping all other plants in stable and efficient operation. All these results were only possible with his open mindset to jointly create solutions and ideas and implement those in a collaborative way with all departments involved. In his current position, he has shown his leadership contributions to implement BYC's mission, vision, values and core competencies through his daily behaviors. 00300571 is a fast learner and very adaptive to new situations and although he gives his team members the chance to develop, he could intensify this in future and sometimes take a small step back to allow others to grow faster. With a good and always open communication, clear organizational awareness and effective collaboration, he has consistently delivered high performance in plant management. He is also recognized within the global and regional technology team of CI, due to his technical, personal and leadership skills.;05.08.2020;ACN;AC
00864333;5;D;NA;F;Personal Drive: 00864333 is results oriented and methodical in her approach. She continuously asks questions to better understand the situation and takes time to present solutions. She is not spontaneous in reaching conclusions but takes time to gather information required to present a detailed factual solution. For ex, the work she did in developing the roadmap for BASF’s Inclusion Plan. She embraces diverse perspectives and engages well with team members. Her consistency is evidenced in all her rotations and is acknowledged by her assignment managers. Eagerness to Learn: 00864333 is eager to learn and experience new things. While strong in execution, her comfort level with driving change seems a bit tentative. In her digitalization implementation project with EM, she was hesitant to push back on those with differing opinions. She has potential to be a change champion, but this wasn’t fully demonstrable so will need additional development. 00864333 has clear focus and determination to achieve her individual goals and objectives. However, there is missed opportunity for her to deepen her curiosity and engage with others to also change and achieve their goals. She can further explore her creativity through news ideas and new ways. She is aware of this and working on developing in this area. People Orientation: 00864333 is self-reflective, open to feedback and listens to others. She is aware of the need to improve her executive presence and her ability to influence. 00864333 understands the value of formal and informal networks but could work of proactively leveraging these to shape and influence teams. Area/s for Development: 00864333 tackles tasks quickly but needs to better understand conceptually the correlation to the bigger picture, especially those outside of what she’s being tasked with. She likely will improve in this area through more experience. Her preferred style of interaction is 1:1 but there is opportunity for her to further develop executive presence/confidence and being able to influence and energize her audience in a larger group setting.;29.07.2020;N-EDN;NA
00321600;5;D;E-CMI/T;F;In CI Operations, 00321600 is leading a task force to cope with the EHS challenges in the Vinyl ethers (VE) plant and to identify and implement measures to ensure its long-term License to Operate. 00321600 used her strong analytical skills and process know-how gained, among others, in her former role in Technical Process Optimization with COE in Ludwigshafen to create full transparency on all open HAZOP Prio 1 action items and other plant topics. She applied her previously acquired project management skills to drive the team through a sound prioritization process and developed a clear action plan. Under 00321600’s lead, the task force made good progress during the last 1.5 years. 00321600 didn’t hesitate to take up topics beyond her task force role e. g. she took the lead in setting up the Asset Target Picture process for the VE plant. Through this process she has developed good insights into the vinyl ether business. 00321600 sometimes gets too involved in details, holding her back from guiding the team from a broader perspective. She could also benefit from taking a stronger lead in unclear situations, as this would help her progress even faster with the given tasks.;11.08.2020;E-CIE;CI
00411369;5;D;G-ENA/P;M;00411369 has an outstanding personality of high potential building on excellent process engineering background. He communicates in a trustworthy manner with self-confidence, authenticity and organizational awareness. 00411369 recognizes emotional impact on others and communicates in a conscious and sensitive way. He simplifies complex subjects to reach a wide variety of people, seeks acceptance of ideas and radiates passion for common goals. Furthermore, 00411369 provides direction enabling the team to perform at its best as well as builds team spirit and sense of ownership for common goals and decisions. This is enhanced by proactively speeding up decisions, even when information is not fully available. When starting his delegation to Bishop/TX, USA, at the existing BASF Ibuprofen plant, 00411369 has been very successful to get all necessary support as technology manager for the Dragon boat project from the site management and all relevant employees of all levels and broadened his knowledge base extremely well and fast. He gained first experience with leading a direct report assisting him in his role. Although job focus was set to transfer the Ibuprofen technology and operational knowledge into the new investment project, he stepped up and voluntarily took over leadership in troubleshooting projects as he joined in a very difficult situation of the site during its technically and organizationally most difficult year ever. He gained most importance in an additional role as project operations manager for an approx. 18 Mio USD reactor replacement project. With a high degree of self-motivation, he collected all necessary economical boundary conditions, evaluated the technical options as well as the business view on this and by clear convincing statements aligned within the OD as well as within the technical community the path forward, offering all relevant options, but setting rational recommendations with a good entrepreneurial focus, balancing risks and opportunities. He showed a strong ability for intensive collaboration within all the projects he participates in, but never losing focus of the right priorities.;06.06.2018;ENT;
00763982;5;D;N-ECN;F;00873031 is very bright, always open to feedback, and demonstrates a strong desire to learn and grow. She has a positive attitude, is confident, and a good presenter. She is particularly strong with financial analysis and contract negotiation where she re-negotiated two contracts last year that provided significant savings and a more strategic relationship with the vendors. She is consistently courageous in terms of sharing her opinion, asking good questions, and is a solid contributor in strategic discussions. 00873031 is developing her impact and independence as she manages complex tasks. She does very good research and analysis and will need to continue learning how to gain alignment with diverse stakeholders to achieve timely execution. Overall, she has a strong executive presence and now just needs to exhibit her impact and drive results.;01.09.2020;N-ECN;EC
00873031;5;E;G-APU/R;F;Ali has built and shaped the S&T Regulatory Affairs team over more than a decade with a proven track record of people development and team performance. She joined BASF with the Constellation acquisition in August 2018. Over the past years, she navigated the team through times of significant change and played a leading role in establishing the current target operating model for this function. She is recognized as an expert in the field of Regulatory Affairs Seeds & Traits both internally and externally. Ali has demonstrated a strong drive to deliver results. While managing significant complexity and change through the integration process, dossiers were submitted and authorizations obtained according to or ahead of timelines. Ali has shown high resilience when faced with significant challenges and prolonged periods of change. She has demonstrated strategic thinking in anticipating the future regulatory environment and developing team and processes accordingly.;13.02.2020;G-APU;AP
00179373;5;R;G-CCP;M;00394487 is a highly skilled colleague with proven success record in sales, marketing and business management in different businesses (Engineering Plastics, Foams and Process Catalysts) and industries (automotive, construction, chemicals). He is well respected amongst his peers and team members. He is a very strong performer with an outstanding working attitude who instills confidence with his command of the business. His pragmatic approach and operative and strategic expertise allow him to understand and tackle complex challenges considering both short- and long-term factors. He is an excellent negotiator who can adapt his style depending on the background and culture of his counterpart. Furthermore, he uses his excellent manners and interpersonal skills to develop valuable and lasting relationships with his colleagues and customers (internally and externally). 00394487 is fluent in four languages and thanks to his international experience can work successfully with different cultures and nationalities. He communicates clearly and to the point. He has strongly contributed to shaping our new processes and setup, and has been key to develop it towards a customer centric and marketing savvy one. 00394487 is member of the GBU’s leadership team, a role that he takes very responsibly. He contributes beyond his own area, defends his ideas passionately and challenges mainstream views. He identifies and nurtures talent from within and from outside the GBU. 00394487 is an assertive leader who delivers on his promises. He is able to build up businesses long-term as well as to lead turn-arounds. Overall, he is a versatile leader usable for a broad range of tasks.;28.05.2020;G-CCP;CC
00326936;5;R;GBW/U;M;00394487 has a strong service and customer focus. He set ambitious and transformational goals for himself and the team. With his developed leadership and collaboration skills he is able to rally his team around the goals. He has a track record of results delivered on time and on budget. 00394487 has extensive knowledge of logistics and supply chain principals as well BAS BASF systems and processes. He is a talent developer and had brought in strong talent and developed them. 00394487 is “ready now” and continues to be a “go to” leader for projects and difficult topics.;25.08.2020;GBW;
00379333;5;D;E-EMC/P;M;Coming from South Africa (EHS country manager), 00379333 moved early 2019 to Grenzach into a completely new field as asset manager. He showed a lot of commitment right from the beginning and accepting to take on responsibility for his actions, coupled with great analytical and strategic thinking combined with a good understanding in chemical engineering processes. His ability to change country, business and function in one step reflects a tremendous agility and potential. 00379333 was able to develop and transform the technical organization in Grenzach into a high-performance organization (HPO) and to accelerate the transfer of services from Switzerland to Germany in a record time, using a high level of emotional intelligence. 00379333 will head the new technical organization with a total of 40 people, including many engineers. In this position he will have the possibility to gain more leadership experience and broaden his experience in the operations area. 00379333 is a quick learner and is willing to take on new challenges. He shows a high result orientation and does not hesitate to take the lead in projects and operational problems. He is a strong team player and a high contributor. 00379333 shows a high level of passion and energy.;16.08.2019;E-EMC;EM
00845088;5;D;CC/C;F;00845088 has been a key part of the FP&A team within OD Controlling. Her attention to detail, ownership for her work, learning agility and ability to perform at very high level with limited direction and guidance have earned her the trust and respect of her peers. 00845088 is also Chair of the Women in Business chapter for Iselin and Union, where she has worked to increase dialogue and events that allow for further development of both men and women. 00845088 has a quite demeanor but is firm and clear on her decisions. She is open to new ideas and a strong collaborator. She will benefit in the future from leading a team and also from gaining intenrational experience to increase her organizational awareness. 00845088 is also the Digital Officer for Controlling where she has spearheaded several initiatives in the reporting area and is a key contributor to the digital community. As part of her development, she will be part of the CuCha task force within CC and will give her development opportunities for her to increase her organizational awareness and exposure to CC and BSF leadership.;30.04.2020;CC/C;CC
00781012;5;D;G-CCP/R;M;00781012 moved from CCE R&D to CCP/R Product Management with great enthusiasm and energy, eager to learn about the business, establish new relationships, and contribute in a short period of time. He reached out and pro-actively established very effective relationships with functions across the business such as Sales, Procurement, Technology, R&D, Supply Chain, and Manufacturing using effective communication and listening skills. His ability to distill down the key needs and technology changes and communicate to people not into the technology is excellent. He also relates and works very effectively with those deeply into the technologies. Leveraging his knowledge gained from CCE emissions technologies, 00781012 searched out the opportunities to improve and simplify CCP/R’s CO promoter product line. He collaborated with colleagues in CCE R&D to modify and apply testing used for automobile emissions applications to CCP/R refining applications for these CO promoters. He effectively communicates these synergies for example to our Sales organization to help them better relate to their key features and sell the benefits of improvements to our customers. 00781012 quickly expanded his focus outside what would typically be an R&D background/technology focus. He drives to understand our customer’s and business’s needs and contributes in a number of areas. Examples include improving product performance, reducing costs via alternate lower cost raw materials, and reducing inventories while still insuring supply. As 00781012’s new role, Product Management in CCP/R is a great fit to give him opportunities to apply his passion for growth in breadth across business functions. Looking forwards to give him the opportunity for direct customer interaction, in conjunction with our Sales & Technology groups, to bring greater value to our customers, our business, and for his continued growth.;01.06.2020;CCP;CC
00478230;5;R;COI;M;00394487 00478230 is a chemist by education with an MBA in Finance, who has successfully taken on various roles at BASF since he joined in 2008. Building on his previous experience at GE Plastics and continuing in EV/B and RAP he has gained excellent knowledge of the plastics industry. 00394487 is a friendly and extroverted person, who has excellent language skills being fluent in English, Spanish and German. 00394487 adapts very well to new environments and connects easily with people. He is a very solid communicator, who can simplify complex issues to deliver the intended message to the relevant target audience. Being responsible for maintaining established and building new relationships with investors and analysts in the US and Canada, 00394487 spends a substantial amount of time travelling. In this regard, he shows a strong customer focus and efficiently and effectively manages relationships with financial market participants. His role also requires a thorough quarterly familiarization with the current topics of the financial community and BASF’s financial reporting. At the same time, he must coordinate and prepare all the investor meetings at conferences, roadshows and site visits in North America – staying well connected with the rest of the COI team, mainly located in Ludwigshafen. Whenever projects or tasks are newly assigned to him, he tackles them with drive being highly motivated and self-confident, also considering guidance and recommendations I give him.;21.07.2019;COI;
00394487;5;D;E-APE/N;M;"00394487 took over the staff role after six years of experience in product management and marketing dispersions for architectural coatings and encoutered the new tasks with a high eagerness to learn and an extraordinary speed in adaptation to the unknown environment. He proved his strength in communicating proactively with the EMEA Leadership team, connecting the diverse range of individual topics in the region and remaining calm in stressful situations (e.g. Roadmap EMEA, BASF Way Forward). 00394487 manages different stakeholders easily, discusses with well-structured arguments that are based on facts and finds pragmatic approaches towards problems. In his previous position, he showed a strong customer orientation and got a positive reputation by developing marketing tools ""out of the box"" in a rather saturated architectural coatings market leading to double digit growth rates in his area of responsibility. He connected easily with new customers, which accepted him in discussions, besides his young age, as partner on eye-level. As a next step, we recommend for 00394487 to overtake a position with disciplinary leadership to proof and strengthen his management skills, including an international experience.";10.09.2018;EU;
00243394;5;R;A-CMA;M;00394487 00624440 is a strong contributor by delivering qualitatively and quantitatively excellent results. When he starts analyzing a situation/task he tries to look from different perspectives to get the full picture. He considers the impact of his decisions and actions carefully. Before implementing he communicates with all involved stakeholders to get their buy-in. In his regional role as Head of Responsible Care and Sustainability, he has managed quickly to build up a network with his business counterparts, corporate EHS team, site, country platforms and global CM. He uses his network efficiently to achieve his targets. As CM representative in different regional isocyanates associations he is a highly regarded industry expert (Phosgene) with an excellent reputation. He is leading the technical team of III (Isocyanates manufacturers) in Asia. In his regional role and being located at SBPC site, 00394487 was able to closely work with site managers to provide professional and strategic supports for site audits and continuous improvement measures. Coupled with his earlier leadership experience in production, Engineering and Maintenance, 00394487 could be a good fit for managing a bigger scale production site.;15.04.2020;A-CMA;CM
00034657;5;D;EN/S;M;"00392863 exhibits an unusually high degree of self-motivation and he has an inherent drive to get tasks accomplished. His ability to get things timely and with excellent quality done in daily business and simultaneously work on long-term strategic concepts makes him a Top-Performer within the entire EN division. He could prove in several strategic projects his ability to analyze sharp and derive clear conclusions. In the course of the development of the """"EN Way Forward board paper"""" he proved his ability to break down the highly complex matter to work packages, which allowed a hollistic on EN and detailed view on each SBU at the same time. A comprehensive deep-dive into bold move M&A options complemented this excellent work. His openness to address also potentials for improvement in his personal skill set can be clearly seen in the way, how he broadened his abilities for situational argumentation. Maintaining his collaborative working style as primary tool to convince others he also added skills to give clear direction in situations, which call for urgent action. In his leadership role as Head of Strategy (EN/ST) he could already show within the first 9 months his exceptionally high degree of people orientation. His former pears in the team accepted him immediately as new superior and appreciate his supportive and appreciative leadeship style. He listens actively and appreciates different views as a source of continuous improvement. He actively exchanges with other group leaders on leadership to learn from their experience and is becoming himself a role-model.";16.05.2019;EN/S;EN
00493887;5;D;EDG/L;M;00392863 likes challenges and likes to pursue new ways forward. He took over the leadership role for managing a newly found group in Singapore in charge of Customer Interaction Portal (CIP) acquisitions, rollouts and post project support. During his reign he clearly moved the positioning of CIP to the positive. Based on his vast experience in IT related projects he connected fast to his new stakeholders and networked intensively to get the main players aligned. Together with his regional team and in coordination with the global team he clearly contributed to global initiatives and projects and was able to make the Asian voice heard and taken into account. Thus, he managed to not only gain international experience but on top also experience on a group leader level. At the beginning of his delegation he had to overcome significant resistance from his own director he was reporting to. He was able to clearly show his value by the tremendous positive feedback he received from the internal business partners all over Asia. When 00392863 identifies improvements, he aligns with stakeholders and through his network, forming coalitions to trigger change. He fights for his ideas and has the endurance to take projects to a completion. 00392863 worked on his leadership skills e.g. with his regional team by practicing team feedbacks, provided guidance for team members, teambuilding and retrieving feedback regarding himself.;17.09.2018;CDM;CDM
